win	group	t_start	t_end	alive_after
000	fpbr	1785329981.853535	1785329983.898044	1
001	fpbr	1785329983.904149	1785329985.924558	1
002	fpbr	1785329985.931412	1785329987.952209	1
003	fpbr	1785329987.958423	1785329989.979803	1
004	fpbr	1785329989.985894	1785329992.006220	1
005	fpbr	1785329992.012348	1785329994.034669	1
006	fpbr	1785329994.040857	1785329996.061177	1
007	fpbr	1785329996.067432	1785329998.088429	1
008	fpbr	1785329998.094531	1785330000.116062	1
009	fpbr	1785330000.132095	1785330002.153824	1
010	fpbr	1785330002.160067	1785330004.180653	1
011	fpbr	1785330004.186557	1785330006.211789	1
012	fpbr	1785330006.217792	1785330008.238380	1
013	fpbr	1785330008.244878	1785330010.265494	1
014	fpbr	1785330010.271518	1785330012.292892	1
015	fpbr	1785330012.299039	1785330014.319732	1
016	fpbr	1785330014.326453	1785330016.348251	1
017	fpbr	1785330016.354442	1785330018.374997	1
018	fpbr	1785330018.381388	1785330020.403797	1
019	fpbr	1785330020.410397	1785330022.438378	0
