instance_id,repo,language,mech_class,mech_category,mech_confidence,mech_secondary,mech_why,mech_risk,behavior_prior,prior_why,prior_confidence,realized_label,realized_mix,realized_source,ps_chars,ps_has_traceback,ps_has_repro,hints_chars,patch_files,patch_hunks,patch_add,patch_del,patch_exts,test_files,test_hunks,test_add,n_f2p,n_p2p,touches_header,touches_build,touches_core
jqlang__jq-2235,jqlang/jq,C,B,B,high,,"scope=28 = the automake `make check` TESTS list (P2P literally contains bundled-oniguruma binaries test_utf8/testc/testcu/test_regset/callback_each_match), byte-identical across jq rows -> jq spread 29/28=1.04 -> W-NOLEV, tier F. W-READ (ps=410) resolved by reading: feature request 'Add -0 command-line option', names concrete flag -0/-j/tojson -> NOT downgraded to X-DEGEN, but weakest-specified C row. patch_files=1/hunks=1/add=1 = narrowest rebuild in jq, so expected below jq-2681's 65.8 core-s. X-DUP (jq already sampled).",medium,T,heavy verify set (1+27 tests),"low (1/10 vs realized labels, report 17)",,,,410,0,0,713,1,1,1,1,.c,1,1,6,1,27,0,0,1
jqlang__jq-2598,jqlang/jq,C,B,B,high,,"jqlang/jq -> B. patch_exts=.c .y with hunks=123/add=369 -> touches the bison grammar, forcing parser regeneration and a near-full retranslate, i.e. the same wide-rebuild configuration that measured 65.8 core-s on jq-2681. scope=28 (repo constant) -> W-NOLEV, tier F; W-BIGDIFF (pf=3, ph=123, add=369). X-DUP.",low,E,large fix (3f/123h/369+),"low (1/10 vs realized labels, report 17)",,,,891,0,1,0,3,123,369,379,.c .y .yml,1,1,7,1,27,0,0,1
jqlang__jq-2650,jqlang/jq,C,B,B,high,,"jqlang/jq -> B. patch_exts=.c .y, hunks=110/add=814 -> grammar change, full parser regen + wide rebuild; largest jq patch after jq-2681. scope=28 repo constant -> W-NOLEV, tier F; W-BIGDIFF. ps=2541 well-specified. X-DUP.",low,E,large fix (2f/110h/814+),"low (1/10 vs realized labels, report 17)",,,,2541,0,1,1739,2,110,814,780,.c .y,1,1,5,1,27,0,0,1
jqlang__jq-2658,jqlang/jq,C,B,B,high,,"jqlang/jq -> B. patch_files=1/hunks=2/add=12, single .c, touches_header=0 -> narrow incremental rebuild; if the image ships a prebuilt tree the compile term is far below jq-2681's. scope=28 repo constant -> W-NOLEV, tier F. ps=609 just above the W-READ band. X-DUP.",medium,T,heavy verify set (1+27 tests),"low (1/10 vs realized labels, report 17)",,,,609,0,1,0,1,2,12,2,.c,1,1,13,1,27,0,0,1
jqlang__jq-2681,jqlang/jq,C,B,B,high,,"ALREADY PROFILED (cross-check). repo jqlang/jq -> B by STEP 0. Confirmed measured: compile 60% + pkg/build 32% (make/libtool) = 92% build work, 65.8 core-s. patch_files=6/hunks=71/add=1561 spanning .c .h .l .y, touches_header=1 -> widest possible jq rebuild (flex+bison regen + full retranslate). Label B.F; flags W-READ (ps=322), W-NOLEV, W-BIGDIFF. This is the sole measured C reference row and it is the atypical member of C's B class (see notes).",low,E,large fix (6f/71h/1561+),"low (1/10 vs realized labels, report 17)",S,S=72% E=10% T=0% B=18%,ML_multiling,322,0,1,440,6,71,1561,1617,.c .h .l .y,1,1,22,1,27,1,0,1
jqlang__jq-2728,jqlang/jq,C,B,B,high,,"jqlang/jq -> B. patch_files=1/hunks=1/add=5, single .c, hdr=0 -> narrowest class of jq rebuild. scope=29 (repo constant) -> W-NOLEV, tier F; no W-BIGDIFF. Magnitude risk is rebuild-breadth, not test count (jq has no per-instance test selection). X-DUP.",medium,T,heavy verify set (1+28 tests),"low (1/10 vs realized labels, report 17)",,,,640,0,0,873,1,1,5,0,.c,1,1,24,1,28,0,0,1
jqlang__jq-2750,jqlang/jq,C,B,B,high,,"jqlang/jq -> B. patch_files=6/hunks=19/add=413 over .c .h .y with touches_header=1 -> one of only 4 touches_header rows in C; header + grammar change forces the broad retranslate that jq-2681 measured at 65.8 core-s. F2P='tests/jqtest', scope=29 repo constant -> W-NOLEV, tier F; W-BIGDIFF. Best jq candidate on magnitude, but X-DUP.",low,E,large fix (6f/19h/413+),"low (1/10 vs realized labels, report 17)",,,,770,0,1,0,6,19,413,368,.c .h .y,1,1,55,1,28,1,0,1
jqlang__jq-2839,jqlang/jq,C,B,B,high,,"jqlang/jq -> B. patch_files=1/hunks=1/add=1 (one-line .c fix), hdr=0 -> minimal rebuild breadth. ps=4415 with ps_has_traceback=1 -> very well specified, low degeneracy risk, but that predicts nothing about fence CPU. scope=28 repo constant -> W-NOLEV, tier F. X-DUP.",medium,T,heavy verify set (1+27 tests),"low (1/10 vs realized labels, report 17)",,,,4415,1,1,2486,1,1,1,1,.c,1,1,17,1,27,0,0,1
jqlang__jq-2919,jqlang/jq,C,B,B,high,,"jqlang/jq -> B. patch_files=3/add=7 over .c .prebuilt .yml -> touches prebuilt-parser artefacts and CI config, so rebuild breadth is uncertain (wider than a plain 1-file .c change, narrower than a .y regen). scope=29 repo constant -> W-NOLEV, tier F; W-BIGDIFF (pf=3). X-DUP.",medium,E,large fix (3f/4h/7+),"low (1/10 vs realized labels, report 17)",,,,1447,0,1,1729,3,4,7,25,.c .prebuilt .yml,1,1,10,1,28,0,0,1
micropython__micropython-10095,micropython/micropython,C,B,B,medium,A,"micropython -> B (secondary A). scope=23, patch_files=1/hunks=2/add=7, single .c, hdr=0 -> narrow rebuild, negligible run term (23 tiny .py scripts). ps=701 with ps_has_traceback=1 (ASAN-style report) -> concrete. spread 2.0x -> W-NOLEV, tier F. Same full-vs-incremental-build magnitude uncertainty as the rest of micropython.",medium,M,no dominant static signal,"low (1/10 vs realized labels, report 17)",,,,701,1,1,498,1,2,7,1,.c,1,1,10,1,22,0,0,1
micropython__micropython-12158,micropython/micropython,C,B,B,medium,A,"repo micropython/micropython -> B by STEP 0, but the test path is `make` then `run-tests.py` (CPython driver executing .py scripts against the built unix binary) -> compile-then-run, hence secondary A. patch_files=8/hunks=18 over .c .h with touches_header=1 -> broadest rebuild in micropython (1 of only 4 hdr rows in C). scope=19; micropython spread 28/14=2.0 -> W-NOLEV, tier F; W-BIGDIFF. F2P/P2P are thread stress tests (stress_recurse.py, stress_schedule.py) so a real run term exists on top of the build. Best non-jq candidate for CONFIRMING B's compile-dominated composition.",low,E,large fix (8f/18h/51+),"low (1/10 vs realized labels, report 17)",,,,1663,0,1,619,8,18,51,14,.c .h,1,2,7,1,18,1,0,1
micropython__micropython-13039,micropython/micropython,C,B,B,medium,A,"micropython -> B (secondary A). Worst magnitude combination in the repo: patch_files=1/hunks=1/add=1 (one-line objslice.c fix) AND scope=14 (repo minimum) -> narrowest rebuild plus smallest run term. W-LOWLEV (14 < median 19), W-NOLEV, tier F. ps=3563 heap-buffer-overflow report with exact file:line pointers is excellent for the agent but irrelevant to fence CPU. Expect layer-3 gate pressure.",high,M,no dominant static signal,"low (1/10 vs realized labels, report 17)",,,,3563,1,1,0,1,1,1,1,.c,1,1,5,1,13,0,0,1
micropython__micropython-13569,micropython/micropython,C,B,B,medium,A,"micropython -> B (secondary A: make + run-tests.py compile-then-run). scope=28 = highest in micropython (28 .py test scripts) but each script runs in milliseconds, so the run term is negligible and the fence is essentially the build intercept. patch_files=1/hunks=2/add=11, hdr=0 -> narrow rebuild. spread 2.0x -> W-NOLEV, tier F. Magnitude rests entirely on whether the episode does a full or incremental build (unknown from CSV; layer-2 R5 probe resolves it).",medium,T,heavy verify set (1+27 tests),"low (1/10 vs realized labels, report 17)",,,,677,1,1,466,1,2,11,0,.c,1,1,10,1,27,0,0,1
micropython__micropython-15898,micropython/micropython,C,B,B,medium,A,"micropython -> B (secondary A). patch_files=1/hunks=1/add=1, hdr=0, scope=14 (repo minimum) -> same narrow-rebuild + tiny-run-term case as 13039. W-LOWLEV, W-NOLEV, tier F. ps=605, only just above the W-READ band. Highest magnitude risk in micropython alongside 13039.",high,M,no dominant static signal,"low (1/10 vs realized labels, report 17)",,,,605,0,1,0,1,1,1,1,.c,1,1,15,1,13,0,0,1
redis__redis-10068,redis/redis,C,B,B,medium,A,"redis -> B (secondary A). scope=8 (XTRIM MINID/MAXLEN tcl tests) with patch_files=1/hunks=4/add=7, hdr=0 -> both terms small. W-LOWLEV (8 < median 14), tier B.S. Class B's blanket exemption from the scope gate is what admits this row; a class-I-style scope>=20 gate would reject it, and the ground truth gives no basis for the exemption outside jq.",high,M,no dominant static signal,"low (1/10 vs realized labels, report 17)",,,,2020,0,1,0,1,4,7,7,.c,1,1,9,1,7,0,0,1
redis__redis-10095,redis/redis,C,B,B,medium,A,"redis -> B (secondary A). scope=13, below the repo median 14 -> W-LOWLEV. patch_files=1/hunks=1/add=1 -> minimal rebuild breadth. Tier B.M (rank 6 of 12; tied at scope 13 with 11631, broken by larger test_add 37 vs 7 — immaterial, both land in M). ps=889 + hints=528 concrete. Small run term plus minimal rebuild = real layer-3 exposure.",medium,M,no dominant static signal,"low (1/10 vs realized labels, report 17)",,,,889,0,1,528,1,1,1,1,.c,1,1,37,1,12,0,0,1
redis__redis-10764,redis/redis,C,B,B,medium,A,"redis -> B (secondary A). scope=20 sits exactly on the class-I/N gate value that class B is exempted from (STEP 1f/R4), and is the top of redis's middle tercile. patch_files=1/hunks=1/add=1 -> minimal rebuild. Tier B.M, no warn flags, ps=1598 + hints=2135. Composition more likely to satisfy B (small run term) but magnitude then rests entirely on the unmeasured build intercept.",medium,M,no dominant static signal,"low (1/10 vs realized labels, report 17)",,,,1598,0,1,2135,1,1,1,1,.c,1,1,27,1,19,0,0,1
redis__redis-11279,redis/redis,C,B,B,low,A,"redis -> B (secondary A; tclsh runner + redis-server under test). scope=89 (2nd largest in C): F2P 2 ACL tests + 87 P2P from unit/acl.tcl. patch_files=2/hunks=4/add=9 over .c .conf -> narrow rebuild, so run term should dominate and B's compile>=60% prediction likely fails. Tier B.L, no warn flags, ps=909 + hints=833 concrete. Magnitude-safe fallback within redis.",low,T,heavy verify set (2+87 tests),"low (1/10 vs realized labels, report 17)",,,,909,0,1,833,2,4,9,6,.c .conf,1,2,22,2,87,0,0,1
redis__redis-11510,redis/redis,C,B,B,medium,A,"redis -> B (secondary A). scope=5 (1 F2P + 4 P2P) with patch_files=1/hunks=1/add=3 -> second-smallest test scope in redis and a 3-line rebuild. W-LOWLEV, tier B.S. Only the unmeasured build intercept can carry this past 20 core-s; treat as unusable until layer-2 R5 measures redis's floor.",high,M,no dominant static signal,"low (1/10 vs realized labels, report 17)",,,,1199,0,1,505,1,1,3,0,.c,1,1,13,1,4,0,0,1
redis__redis-11631,redis/redis,C,B,B,medium,A,"redis -> B (secondary A). scope=13 < median 14 -> W-LOWLEV; tier B.M (rank 5, tie with 10095 broken on test_add 7 vs 37). patch_files=1/hunks=3/add=17, hdr=0 -> narrow rebuild. ps=2846 + hints=2123 well specified. Same magnitude exposure as 10095.",medium,M,no dominant static signal,"low (1/10 vs realized labels, report 17)",,,,2846,0,1,2123,1,3,17,7,.c,1,1,7,1,12,0,0,1
redis__redis-11734,redis/redis,C,B,B,low,A,"redis -> B (secondary A). scope=49 from unit/bitops.tcl (BITCOUNT/BITPOS vectors + fuzzing) -> genuinely CPU-bound tcl tests, good run term. patch_files=1/hunks=7/add=38 -> just under the W-BIGDIFF hunk threshold (7 < 8); test_hunks=4/test_add=76 is the largest test patch in redis. Tier B.L, no warn flags. ps=639 just above the W-READ band.",low,T,heavy verify set (2+47 tests),"low (1/10 vs realized labels, report 17)",,,,639,0,1,0,1,7,38,20,.c,1,4,76,2,47,0,0,1
redis__redis-12272,redis/redis,C,B,B,medium,A,"redis -> B (secondary A). W-READ (ps=529) resolved by reading: concrete SUBSTR/GETRANGE off-by-one with a reproducer and a version string -> passes STEP 2a, NOT downgraded to X-DEGEN. But scope=12 (F2P 2 GETRANGE + 10 P2P SETRANGE/GETRANGE string tests, all sub-millisecond ops) with patch_files=1/hunks=1/add=5 -> tiny run term and minimal rebuild. W-LOWLEV, tier B.S. High layer-3 risk.",high,M,no dominant static signal,"low (1/10 vs realized labels, report 17)",,,,529,0,1,3485,1,1,5,14,.c,1,2,12,2,10,0,0,1
redis__redis-12472,redis/redis,C,B,B,medium,A,"redis -> B (secondary A). scope=3 = redis minimum (F2P 'ACL GETUSER provides correct results' + 2 P2P), patch_files=1/hunks=2/add=3, test_add=4 -> smallest run term and near-minimal rebuild in the repo. W-LOWLEV, tier B.S. Structurally the redis analogue of the rejected laravel-51890/carbon-2813 pattern, admitted only by B's scope-gate exemption.",high,M,no dominant static signal,"low (1/10 vs realized labels, report 17)",,,,1004,0,1,445,1,2,3,1,.c,1,1,4,1,2,0,0,1
redis__redis-13115,redis/redis,C,B,B,low,A,"repo redis/redis -> B by STEP 0, but the entry point is `make` then `./runtest` (tclsh test_helper spawning redis-server) -> interpreted runner driving a native app-under-test, so secondary A and LOW confidence in B's 'compile >=60% / runner <30%' prediction. scope=184 = C-column maximum (F2P 'EVAL - Lua number -> Redis integer conversion' + 183 P2P from unit/scripting.tcl, which runs the embedded Lua interpreter in-process). patch_files=1/hunks=1/add=11 -> narrow rebuild, so the fence should be run-term-dominated. Tier B.L, zero warn flags, ps=6364 + hints=1027 -> lowest degeneracy risk in C.",low,T,heavy verify set (1+183 tests),"low (1/10 vs realized labels, report 17)",,,,6364,0,1,1027,1,1,11,2,.c,1,1,8,1,183,0,0,1
redis__redis-13338,redis/redis,C,B,B,low,A,"redis -> B (secondary A). scope=68 from the stream-consumer-group suite (XGROUP/XREADGROUP tcl tests). patch_files=1/hunks=3/add=8, hdr=0 -> narrow rebuild; large run term makes a mixture or runner-dominated composition more likely than compile>=60%. Tier B.L, no warn flags, ps=5334 well specified.",low,T,heavy verify set (1+67 tests),"low (1/10 vs realized labels, report 17)",,,,5334,0,1,0,1,3,8,9,.c,1,1,25,1,67,0,0,1
redis__redis-9733,redis/redis,C,B,B,medium,A,"redis -> B (secondary A). touches_header=1 (1 of only 4 in C) with patch_files=3/hunks=7/add=16 over .c .h -> widest rebuild in redis, which partly offsets a small run term (scope=15, COMMAND GETKEYS + command-stats tcl tests). Tier B.M; W-BIGDIFF (pf=3); ps=609 just clears the W-READ band. The best redis instance for testing B's compile-dominated composition, but the weakest on magnitude among mid-tier redis.",medium,E,large fix (3f/7h/16+),"low (1/10 vs realized labels, report 17)",,,,609,0,1,2184,3,7,16,5,.c .h,1,1,8,1,14,1,0,1
valkey-io__valkey-1499,valkey-io/valkey,C,B,B,low,A,"repo valkey-io/valkey -> B by STEP 0 (redis fork, same make + ./runtest tclsh structure), secondary A; LOW confidence in compile>=60% because the run term dominates. scope=47 = valkey maximum (TOUCH/no-touch + keyspace tcl tests, single-server, no cluster orchestration). patch_files=1/hunks=1/add=1 -> minimal rebuild. Tier B.L (valkey spread 47/1=47x), zero warn flags, ps=1063 concrete with a linked command doc. Best valkey candidate and the repo-diversifying fallback.",low,T,heavy verify set (1+46 tests),"low (1/10 vs realized labels, report 17)",,,,1063,0,1,0,1,1,1,1,.c,1,1,14,1,46,0,0,1
