win	group	t_start	t_end	alive_after
000	dram_bw	1785358029.387900	1785358031.430613	1
001	dram_bw	1785358031.436900	1785358033.457020	1
002	dram_bw	1785358033.463108	1785358035.484027	1
003	dram_bw	1785358035.490196	1785358037.510973	1
004	dram_bw	1785358037.517219	1785358039.537591	1
005	dram_bw	1785358039.543594	1785358041.564143	1
006	dram_bw	1785358041.570349	1785358043.590582	1
007	dram_bw	1785358043.596516	1785358045.617864	1
008	dram_bw	1785358045.624107	1785358047.644676	1
009	dram_bw	1785358047.651524	1785358049.672636	1
010	dram_bw	1785358049.679562	1785358051.702490	1
011	dram_bw	1785358051.709093	1785358053.729986	1
012	dram_bw	1785358053.736435	1785358055.756617	1
013	dram_bw	1785358055.762653	1785358057.782673	1
014	dram_bw	1785358057.789322	1785358059.810830	1
015	dram_bw	1785358059.817177	1785358061.838174	1
016	dram_bw	1785358061.845287	1785358063.867053	1
017	dram_bw	1785358063.873954	1785358065.893741	1
018	dram_bw	1785358065.900782	1785358067.924254	1
019	dram_bw	1785358067.931188	1785358069.952816	1
020	dram_bw	1785358069.958875	1785358071.979926	1
021	dram_bw	1785358071.986012	1785358074.006010	0
