win	group	t_start	t_end	alive_after
000	fe_miss	1785348896.304442	1785348898.355233	1
001	fe_miss	1785348898.361395	1785348900.383365	1
002	fe_miss	1785348900.389676	1785348902.413596	1
003	fe_miss	1785348902.420070	1785348904.441874	1
004	fe_miss	1785348904.448030	1785348906.470430	1
005	fe_miss	1785348906.476487	1785348908.498266	1
006	fe_miss	1785348908.504740	1785348910.528962	1
007	fe_miss	1785348910.535767	1785348912.558524	1
008	fe_miss	1785348912.564424	1785348914.591669	1
009	fe_miss	1785348914.597699	1785348916.620639	1
010	fe_miss	1785348916.627225	1785348918.651625	1
011	fe_miss	1785348918.657633	1785348920.680411	1
012	fe_miss	1785348920.686584	1785348922.711062	1
013	fe_miss	1785348922.717965	1785348924.747088	1
014	fe_miss	1785348924.753865	1785348926.777509	0
